crime_type ,district ,beat_number ,map_reference ,phxcommunity ,domestic
84 ,1 ,120 ,061 ,0 ,0
33,1 ,114 ,026 ,0 ,0
33,3 ,118 ,045 ,0 ,0
33,1 ,120 ,062 ,0 ,0
32,1 ,111 ,025 ,1 ,0
32,3 ,112 ,083 ,0 ,0
32,1 ,113 ,031 ,0 ,0
32,1 ,113 ,033 ,0 ,0
32,3 ,116 ,053 ,0 ,0
32,2 ,119 ,076 ,0 ,0
32,1 ,120 ,125 ,0 ,0
32,2 ,121 ,073 ,0 ,0
32,2 ,122 ,015 ,1 ,0
31 ,3 ,118 ,045 ,0 ,0
30,3 ,118 ,120 ,0 ,0
29 ,1 ,111 ,029 ,0 ,0
29 ,1 ,111 ,080 ,0 ,0
29 ,3 ,112 ,003 ,0 ,0
29 ,3 ,112 ,083 ,1 ,0
29 ,1 ,114 ,026 ,0 ,0
29 ,1 ,114 ,026 ,1 ,0
29 ,3 ,115 ,006 ,0 ,0
29 ,3 ,115 ,037 ,0 ,0
29 ,3 ,115 ,042 ,0 ,0
29 ,3 ,116 ,043 ,0 ,0
29 ,3 ,116 ,051 ,0 ,0
29 ,3 ,116 ,054 ,0 ,0
29 ,2 ,117 ,014 ,0 ,0
29 ,2 ,117 ,066 ,0 ,0
29 ,3 ,118 ,004 ,0 ,0
29 ,3 ,118 ,004 ,0 ,0
29 ,3 ,118 ,046 ,0 ,0
29 ,3 ,118 ,047 ,0 ,0
29 ,2 ,119 ,016 ,0 ,0
29 ,2 ,119 ,076 ,0 ,0
29 ,2 ,119 ,076 ,0 ,0
29 ,2 ,119 ,082 ,1 ,0
29 ,1 ,120 ,057 ,1 ,0
29 ,1 ,120 ,058 ,0 ,0
29 ,1 ,120 ,061 ,0 ,0
29 ,1 ,120 ,061 ,0 ,0
29 ,1 ,120 ,061 ,0 ,0
29 ,1 ,120 ,062 ,0 ,0
29 ,2 ,121 ,069 ,0 ,0
29 ,2 ,122 ,077 ,1 ,0
29 ,2 ,122 ,081 ,0 ,0
29 ,2 ,122 ,122 ,0 ,0
28 ,3 ,116 ,007 ,0 ,0
28 ,3 ,116 ,053 ,0 ,0
83 ,1 ,114 ,026 ,0 ,0
83 ,3 ,118 ,004 ,0 ,0
83 ,1 ,120 ,062 ,0 ,0
